time,value
1662736930507,0
1662736930517,0
1662736930527,0
1662736930537,0
1662736930547,0
1662736930556,0
1662736930566,0
1662736930576,0
1662736930587,0
1662736930596,0
1662736930606,0
1662736930616,0
1662736930626,0
1662736930636,0
1662736930646,0
1662736930656,0
1662736930666,0
1662736930676,0
1662736930686,0
1662736930696,0
1662736930706,0
1662736930716,0
1662736930726,0
1662736930736,0
1662736930746,0
1662736930756,0
1662736930766,0
1662736930776,0
1662736930786,0
1662736930796,0
1662736930806,0
1662736930815,0
1662736930825,0
1662736930835,0
1662736930845,0
1662736930855,0
1662736930865,0
1662736930875,0
1662736930885,0
1662736930895,0
1662736930905,0
1662736930915,0
1662736930925,0
1662736930935,0
1662736930945,0
1662736930955,0
1662736930965,0
1662736930975,0
1662736930985,0
1662736930995,0
1662736931005,0
1662736931015,0
1662736931025,0
1662736931035,0
1662736931045,0
1662736931055,0
1662736931065,0
1662736931075,0
1662736931084,0
1662736931094,0
1662736931104,0
1662736931114,0
1662736931124,0
1662736931134,0
1662736931144,0
1662736931154,0
1662736931164,0
1662736931174,0
1662736931184,0
1662736931194,0
1662736931204,0
1662736931214,0
1662736931224,0
1662736931234,0
1662736931244,0
1662736931254,0
1662736931264,0
1662736931274,0
1662736931284,0
1662736931294,0
1662736931304,0
1662736931314,0
1662736931324,0
1662736931334,0
1662736931344,0
1662736931353,0
1662736931363,0
1662736931373,0
1662736931383,0
1662736931393,1
1662736931403,1
1662736931413,1
1662736931423,1
1662736931433,1
1662736931443,1
1662736931453,1
1662736931463,1
1662736931473,1
1662736931483,1
1662736931493,1
1662736931503,1
1662736931513,1
1662736931523,1
1662736931533,1
1662736931543,0
1662736931553,0
1662736931563,0
1662736931573,0
1662736931583,0
1662736931593,0
1662736931602,0
1662736931612,0
1662736931622,0
1662736931632,0
1662736931642,0
1662736931652,0
1662736931662,0
1662736931672,0
1662736931682,0
1662736931692,0
1662736931702,0
1662736931712,0
1662736931722,0
1662736931732,0
1662736931742,0
1662736931752,0
1662736931762,0
1662736931772,0
1662736931782,0
1662736931792,0
1662736931802,0
1662736931812,0
1662736931822,0
1662736931832,0
1662736931842,0
1662736931852,0
1662736931862,0
1662736931871,0
1662736931882,0
1662736931891,0
1662736931901,0
1662736931911,0
1662736931921,0
1662736931931,0
1662736931941,0
1662736931951,0
1662736931961,0
1662736931971,0
1662736931981,0
1662736931991,0
1662736932001,0
1662736932011,0
1662736932021,0
1662736932031,0
1662736932041,0
1662736932051,0
1662736932061,0
1662736932071,0
1662736932081,0
1662736932091,0
1662736932101,0
1662736932111,0
1662736932121,0
1662736932131,0
1662736932140,0
1662736932150,0
1662736932160,0
1662736932170,0
1662736932180,0
1662736932190,0
1662736932200,0
1662736932210,0
1662736932220,0
1662736932230,0
1662736932240,0
1662736932250,0
1662736932260,0
1662736932270,0
1662736932280,0
1662736932290,0
1662736932300,0
1662736932310,0
1662736932320,0
1662736932330,0
1662736932340,0
1662736932350,0
1662736932360,0
1662736932370,0
1662736932380,0
